Velocity,Repitition,Sustain,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,18,
f,1,0,13,C#0,29,
f,1,0,14,D0,40,
f,1,0,15,D#0,51,
f,1,0,16,E0,62,
f,1,0,17,F0,73,
f,1,0,18,F#0,84,
f,1,0,19,G0,95,
f,1,0,20,G#0,106,
f,1,0,21,A0,117,
f,1,0,22,A#0,128,
f,1,0,23,B0,139,
f,1,0,24,C1,150,
f,1,0,25,C#1,161,
f,1,0,26,D1,172,
f,1,0,27,D#1,183,
f,1,0,28,E1,194,
f,1,0,29,F1,205,
f,1,0,30,F#1,216,
f,1,0,31,G1,227,
f,1,0,32,G#1,238,
f,1,0,33,A1,249,
f,1,0,34,A#1,260,
f,1,0,35,B1,271,
f,1,0,36,C2,282,
f,1,0,37,C#2,293,
f,1,0,38,D2,304,
f,1,0,39,D#2,315,
f,1,0,40,E2,326,
f,1,0,41,F2,337,d
f,1,0,41,F2,351,d
f,1,0,41,F2,371,
f,1,0,42,F#2,395,
f,1,0,43,G2,406,
f,1,0,44,G#2,417,
f,1,0,45,A2,428,
f,1,0,46,A#2,439,
f,1,0,47,B2,450,
f,1,0,48,C3,461,
f,1,0,49,C#3,472,
f,1,0,50,D3,483,
f,1,0,51,D#3,494,
f,1,0,52,E3,505,
f,1,0,53,F3,516,
f,1,0,54,F#3,527,
f,1,0,55,G3,538,
f,1,0,56,G#3,549,
f,1,0,57,A3,560,
f,1,0,58,A#3,571,
f,1,0,59,B3,582,
f,1,0,60,C4,593,
f,1,0,61,C#4,604,
f,1,0,62,D4,615,
f,1,0,63,D#4,626,
f,1,0,64,E4,637,
f,1,0,65,F4,648,
f,1,0,66,F#4,659,
f,1,0,67,G4,670,
f,1,0,68,G#4,681,d
f,1,0,68,G#4,686,
f,1,0,69,A4,697,
f,1,0,70,A#4,708,
f,1,0,71,B4,719,
f,1,0,72,C5,730,d
f,1,0,72,C5,737,