Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,4,
f,1,0,13,C#0,27,
f,1,0,14,D0,39,
f,1,0,15,D#0,51,
f,1,0,16,E0,63,
f,1,0,17,F0,75,
f,1,0,18,F#0,87,
f,1,0,19,G0,99,
f,1,0,20,G#0,111,
f,1,0,21,A0,123,
f,1,0,22,A#0,135,
f,1,0,23,B0,147,
f,1,0,24,C1,159,
f,1,0,25,C#1,171,
f,1,0,26,D1,183,
f,1,0,27,D#1,195,
f,1,0,28,E1,207,
f,1,0,29,F1,219,
f,1,0,30,F#1,231,
f,1,0,31,G1,243,
f,1,0,32,G#1,255,
f,1,0,33,A1,267,
f,1,0,34,A#1,279,
f,1,0,35,B1,291,
f,1,0,36,C2,303,
f,1,0,37,C#2,315,
f,1,0,38,D2,327,
f,1,0,39,D#2,339,
f,1,0,40,E2,351,
f,1,0,41,F2,363,
f,1,0,42,F#2,375,
f,1,0,43,G2,387,
f,1,0,44,G#2,399,
f,1,0,45,A2,411,
f,1,0,46,A#2,423,
f,1,0,47,B2,435,
f,1,0,48,C3,447,
f,1,0,49,C#3,459,
f,1,0,50,D3,471,
f,1,0,51,D#3,483,
f,1,0,52,E3,495,
f,1,0,53,F3,507,
f,1,0,54,F#3,519,
f,1,0,55,G3,531,
f,1,0,56,G#3,543,
f,1,0,57,A3,555,
f,1,0,58,A#3,567,
f,1,0,59,B3,579,
f,1,0,60,C4,591,
f,1,0,61,C#4,603,
f,1,0,62,D4,615,
f,1,0,63,D#4,627,
f,1,0,64,E4,639,
f,1,0,65,F4,651,
f,1,0,66,F#4,663,
f,1,0,67,G4,675,
f,1,0,68,G#4,687,
f,1,0,69,A4,699,
f,1,0,70,A#4,711,
f,1,0,71,B4,723,
f,1,0,72,C5,735,